839634 function calls (824339 primitive calls) in 5.640 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1138    0.002    0.000    0.009    0.000 colors.py:161(to_rgba)
        1    0.000    0.000    0.009    0.009 cm.py:16(<module>)
        1    0.000    0.000    0.009    0.009 traitlets.py:35(<module>)
      731    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap>:147(__enter__)
        6    0.000    0.000    0.009    0.002 tokenize2.py:133(_compile)
        1    0.000    0.000    0.009    0.009 _distributor_init.py:7(<module>)
        8    0.009    0.001    0.009    0.001 backend_qt5.py:705(_icon)
        1    0.000    0.000    0.009    0.009 containers.py:4(<module>)
        2    0.000    0.000    0.009    0.005 shape_base.py:1(<module>)
      484    0.000    0.000    0.009    0.000 inspect.py:2997(bind)
        1    0.000    0.000    0.009    0.009 parser.py:5(<module>)
       70    0.001    0.000    0.009    0.000 __init__.py:1373(_preprocess_data)
        1    0.000    0.000    0.009    0.009 image.py:4(<module>)
        1    0.000    0.000    0.009    0.009 shutil.py:5(<module>)
      484    0.006    0.000    0.009    0.000 inspect.py:2866(_bind)
      676    0.001    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.008    0.008 cache.py:48(_get_default_cache_path)
        2    0.000    0.000    0.008    0.004 platform.py:1028(system)
        2    0.000    0.000    0.008    0.004 platform.py:890(uname)
        1    0.000    0.000    0.008    0.008 tempfile.py:24(<module>)
        1    0.000    0.000    0.008    0.008 pyparsing.py:5377(pyparsing_common)
        1    0.008    0.008    0.008    0.008 {built-in method sizeHint}
        2    0.000    0.000    0.008    0.004 history.py:1(<module>)
        1    0.000    0.000    0.008    0.008 feedparser.py:20(<module>)
        1    0.000    0.000    0.008    0.008 platform.py:721(_node)
       77    0.008    0.000    0.008    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.008    0.008 context.py:3(<module>)
        1    0.000    0.000    0.008    0.008 defmatrix.py:1(<module>)
        1    0.000    0.000    0.008    0.008 __init__.py:315(__getattr__)
        1    0.000    0.000    0.008    0.008 __init__.py:39(_load_lexers)
       48    0.001    0.000    0.008    0.000 lines.py:269(__init__)
        1    0.000    0.000    0.008    0.008 __init__.py:155(_check_versions)
     1211    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
        1    0.000    0.000    0.008    0.008 random.py:38(<module>)
        1    0.000    0.000    0.007    0.007 application.py:2(<module>)
        1    0.000    0.000    0.007    0.007 cm.py:53(_gen_cmap_registry)
    20286    0.006    0.000    0.007    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.007    0.007 patches.py:1(<module>)
        1    0.000    0.000    0.007    0.007 socket.py:47(<module>)
        1    0.000    0.000    0.007    0.007 blocking_input.py:20(<module>)
     1185    0.003    0.000    0.007    0.000 font_manager.py:1131(score_family)
      117    0.001    0.000    0.007    0.000 decorator.py:156(make)
        1    0.000    0.000    0.007    0.007 axis.py:3(<module>)
88549/86803    0.007    0.000    0.007    0.000 {built-in method builtins.len}
       76    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        1    0.000    0.000    0.007    0.007 __init__.py:71(<module>)
        1    0.000    0.000    0.007    0.007 function.py:1(<module>)
       11    0.000    0.000    0.007    0.001 argparse.py:2437(format_help)
        1    0.000    0.000    0.007    0.007 __init__.py:1444(inner)
      244    0.002    0.000    0.007    0.000 artist.py:972(update)
        1    0.000    0.000    0.007    0.007 python.py:10(<module>)
        1    0.000    0.000    0.007    0.007 _axes.py:5328(imshow)
     1247    0.001    0.000    0.007    0.000 font_manager.py:962(_json_decode)
        1    0.000    0.000    0.007    0.007 inspect.py:27(<module>)
       54    0.001    0.000    0.007    0.000 text.py:667(draw)
        1    0.000    0.000    0.007    0.007 generator.py:27(<module>)
        1    0.000    0.000    0.006    0.006 shortcuts.py:21(<module>)
        1    0.000    0.000    0.006    0.006 _internal.py:6(<module>)
     2551    0.002    0.000    0.006    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.006    0.006 controls.py:3(<module>)
       80    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:34(<module>)
      117    0.001    0.000    0.006    0.000 decorator.py:87(__init__)
        1    0.000    0.000    0.006    0.006 _policybase.py:4(<module>)
        1    0.000    0.000    0.006    0.006 py3k.py:12(<module>)
       11    0.000    0.000    0.006    0.001 argparse.py:283(format_help)
        1    0.000    0.000    0.006    0.006 backend_bases.py:26(<module>)
       32    0.001    0.000    0.006    0.000 colors.py:776(from_list)
        1    0.000    0.000    0.006    0.006 __init__.py:41(<module>)
    33/11    0.000    0.000    0.006    0.001 argparse.py:210(format_help)
      631    0.002    0.000    0.006    0.000 colors.py:197(_to_rgba_no_colorcycle)
        1    0.000    0.000    0.006    0.006 PyColorize.py:30(<module>)
    33/11    0.000    0.000    0.006    0.001 argparse.py:215(<listcomp>)
     3595    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x00007FFC6471E890}
       17    0.000    0.000    0.006    0.000 rcsetup.py:928(validate_cycler)
       28    0.000    0.000    0.006    0.000 pyparsing.py:2757(__init__)
        1    0.000    0.000    0.006    0.006 grammar_parser.py:8(<module>)
        1    0.000    0.000    0.006    0.006 linalg.py:10(<module>)
     3864    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     6241    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      501    0.006    0.000    0.006    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     2332    0.003    0.000    0.006    0.000 inspect.py:2460(__init__)
        1    0.000    0.000    0.005    0.005 Image.py:2728(fromarray)
        1    0.000    0.000    0.005    0.005 hashlib.py:54(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:3(<module>)
       90    0.000    0.000    0.005    0.000 fromnumeric.py:52(_wrapfunc)
 1951/572    0.004    0.000    0.005    0.000 sre_parse.py:174(getwidth)
      265    0.001    0.000    0.005    0.000 sre_compile.py:536(_compile_info)
        1    0.000    0.000    0.005    0.005 sys_path.py:1(<module>)
       48    0.002    0.000    0.005    0.000 __init__.py:316(namedtuple)
     2903    0.002    0.000    0.005    0.000 enum.py:281(__call__)
    10867    0.004    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
       60    0.001    0.000    0.005    0.000 lines.py:734(draw)
        2    0.000    0.000    0.005    0.003 display.py:2(<module>)
       81    0.000    0.000    0.005    0.000 docstring.py:77(dedent_interpd)
        1    0.005    0.005    0.005    0.005 Julia_set.py:29(_coord_compute)
        1    0.000    0.000    0.005    0.005 diff.py:7(<module>)
       14    0.000    0.000    0.005    0.000 axis.py:341(_apply_params)
11903/11899    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     8088    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.005    0.005 image.py:686(set_data)
       18    0.000    0.000    0.005    0.000 <__array_function__ internals>:2(clip)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
       36    0.000    0.000    0.005    0.000 __init__.py:1338(_add_data_doc)
        1    0.000    0.000    0.005    0.005 __init__.py:681(safe_masked_invalid)
        1    0.000    0.000    0.005    0.005 cli.py:3(<module>)
    25957    0.005    0.000    0.005    0.000 {built-in method builtins.min}
       18    0.000    0.000    0.005    0.000 fromnumeric.py:2044(clip)
        8    0.000    0.000    0.005    0.001 utils.py:1(<module>)
        1    0.005    0.005    0.005    0.005 {method 'tobytes' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 ssl.py:91(<module>)
       18    0.000    0.000    0.005    0.000 {method 'clip' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.005    0.002 base.py:1(<module>)
      428    0.000    0.000    0.005    0.000 rcsetup.py:360(validate_color)
       18    0.000    0.000    0.005    0.000 _methods.py:124(_clip)
      676    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
     1276    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
     1185    0.004    0.000    0.005    0.000 font_manager.py:1192(score_stretch)
      782    0.002    0.000    0.005    0.000 functools.py:37(update_wrapper)
      113    0.001    0.000    0.005    0.000 inspect.py:1082(getfullargspec)
        1    0.000    0.000    0.004    0.004 JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
        2    0.000    0.000    0.004    0.002 axis.py:899(set_clip_path)
        1    0.000    0.000    0.004    0.004 basic.py:1(<module>)
        1    0.000    0.000    0.004    0.004 lexer.py:10(<module>)
       40    0.004    0.000    0.004    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
       23    0.000    0.000    0.004    0.000 pyparsing.py:1016(_trim_arity)
       21    0.000    0.000    0.004    0.000 pyparsing.py:1227(setParseAction)
        1    0.000    0.000    0.004    0.004 basic.py:70(BasicMagics)
      182    0.000    0.000    0.004    0.000 abc.py:125(__new__)
      374    0.000    0.000    0.004    0.000 contextlib.py:107(__enter__)
      145    0.001    0.000    0.004    0.000 deprecation.py:168(deprecate)
       22    0.000    0.000    0.004    0.000 pyparsing.py:1024(extract_stack)
        1    0.000    0.000    0.004    0.004 __init__.py:201(<module>)
       22    0.000    0.000    0.004    0.000 traceback.py:196(extract_stack)
      877    0.003    0.000    0.004    0.000 inspect.py:2743(__init__)
     1185    0.001    0.000    0.004    0.000 font_manager.py:1210(score_weight)
       18    0.004    0.000    0.004    0.000 _methods.py:105(_clip_dep_invoke_with_casting)
        2    0.000    0.000    0.004    0.002 _version.py:7(<module>)
       17    0.001    0.000    0.004    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.004    0.004 pickle.py:24(<module>)
      542    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
       22    0.000    0.000    0.004    0.000 traceback.py:312(extract)
      727    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
      138    0.000    0.000    0.004    0.000 rcsetup.py:87(f)
       20    0.000    0.000    0.004    0.000 backend_agg.py:188(draw_text)
       16    0.000    0.000    0.004    0.000 ticker.py:2287(__call__)
